lat,lon,water_temp_celcius,doxy_mg_L,ammonia_umol_kg,pH,chl_a_mg_L,year,Remarks
40.8967,-69.1583,4.36,18,0.4,7.8152,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-08
40.8967,-69.1583,4.36,0,0.4,7.8055,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-09
40.2467,-67.7,6.07,15.2,0.3,7.7456,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-10
40.2467,-67.7,9.51,NA,NA,7.7437,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-11
40.2467,-67.7,7.54,0,0.5,7.8446,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-12
40.375,-67.7067,10.92,4.5,0.3,7.8059,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-13
40.375,-67.7067,12.28,4.9,0.4,7.9121,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-14
40.375,-67.7067,6.96,2.4,0.3,7.84,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-15
40.9317,-67.71,4.38,14.8,0.6,7.8495,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-16
40.9317,-67.71,4.37,0,0.9,7.8456,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-17
40.9317,-67.71,4.39,20.2,0.7,7.8514,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-18
41.755,-65.435,6.11,12.1,0.5,7.7321,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-19
41.755,-65.435,6.88,8.7,0.3,7.7344,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-20
41.755,-65.435,8.38,6.3,0.6,7.7334,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-21
41.755,-65.435,10.99,4.8,0.3,7.7931,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-22
41.755,-65.435,7.5,6.8,0.3,7.8425,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-23
41.4733,-67.6867,4.98,9.3,0.3,7.8328,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-24
41.4733,-67.6867,4.97,7.6,0.2,7.8303,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-25
41.4733,-67.6867,4.97,6.3,0.3,7.8356,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-26
42.0019,-67.6868,5.51,6.9,0.4,7.7691,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-27
42.0019,-67.6868,5.48,8.3,0.3,7.7601,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-28
42.0019,-67.6868,5.47,8.1,0.6,7.7647,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-29
42.371,-67.045,8.9,3.6,0.2,7.7467,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-30
42.371,-67.045,8.95,3.5,0.3,7.7469,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-31
42.371,-67.045,9.5,3.6,0.3,7.7611,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-32
42.371,-67.045,8.19,4.7,0.4,7.7694,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-33
42.371,-67.045,3.96,8.3,0.2,7.7692,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-34
42.2267,-65.775,9.62,3.8,0.1,7.7853,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-35
42.2267,-65.775,10.75,4.5,0.3,7.844,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-36
42.2267,-65.775,7.47,5.2,0.2,7.7785,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-37
42.2267,-65.775,3.71,6.6,0.3,7.7345,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-38
42.2267,-65.775,1.51,8.4,0.4,7.7202,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-39
43.025,-66.3367,5.73,6,0.2,7.7577,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-40
43.025,-66.3367,5.07,6.2,0.4,7.7485,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-41
43.025,-66.3367,3.95,8.4,0.5,7.7382,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-42
42.7083,-67.7133,8.35,NA,NA,7.7433,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-43
44.1945,-67.7127,5.16,9,0.5,7.7577,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-44
44.1945,-67.7127,5.07,9,0.2,7.756,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-45
44.1945,-67.7127,4.34,9.5,0.4,7.7553,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-46
44.1945,-67.7127,4.05,9.7,0.5,7.7473,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-47
44.1945,-67.7127,4.01,9.7,0.3,7.7562,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-48
43.7705,-68.6663,3.44,10,0.4,7.7646,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-49
43.7705,-68.6663,3.15,10.2,0.2,7.7658,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-50
43.7705,-68.6663,3.1,10.2,0.4,7.762,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-51
42.5048,-69.6657,8.08,5.3,0.2,7.6544,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-52
42.5048,-69.6657,5.86,9.1,0.4,7.7605,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-53
42.5048,-69.6657,5.24,9.5,0.3,7.7746,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-54
42.5048,-69.6657,4.98,9.6,0.1,7.7761,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-55
42.5048,-69.6657,4.97,9.6,0.2,7.7815,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-56
42.4183,-70.6267,3.25,9.9,0.7,7.7521,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-57
42.4183,-70.6267,2.89,10.3,0.2,7.7646,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-58
42.4183,-70.6267,2.54,10.5,0.3,7.7644,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-59
42.3617,-70.4667,2.81,10.5,0.6,7.7805,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-60
42.3617,-70.4667,2.82,10.5,1.2,7.7746,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-61
42.3617,-70.4667,2.88,10.4,0.9,7.7654,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-62
42.3617,-70.4667,3.2,10.2,0.3,7.7591,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-63
42.3617,-70.4667,3.11,10.3,0.6,7.7566,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-64
42.315,-70.2833,3.37,NA,0.6,7.7618,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-65
42.315,-70.2833,3.37,10.2,0.4,7.7726,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-66
42.315,-70.2833,3.4,10.2,0.4,7.7635,NA,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-67
NA,NA,NA,NA,14.96674058,8.52,0.02364,2002,Lake Winnipeg Chemistry data from 2002 to 2004
NA,NA,NA,NA,0.554323725,8.34,0.02415,2002,Lake Winnipeg Chemistry data from 2002 to 2004
